Tárgykód,Tárgy neve,Követelmény,Típus,Félév,Kurzus,,,,,,,,,,,,,,,,
ITN311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2019/20/1,Nem,,,,,,,,,,,,,,,,146
IB611uiG,Rendszerfejlesztés II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,147
IMEN551G,Thesis Work II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,148
IML5022miG,Diplomamunka készítése II. gy.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,149
IB985,Szakdolgozat készítése 2. BSc (mi),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,150
IMN552G,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,151
IB900vm,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,152
I056g,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2012/13/2,Nem,,,,,,,,,,,,,,,,153
IMN249L,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2012/13/2,Nem,,,,,,,,,,,,,,,,154
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2013/14/2,Nem,,,,,,,,,,,,,,,,155
I056g,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2013/14/2,Nem,,,,,,,,,,,,,,,,156
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2017/18/1,Nem,,,,,,,,,,,,,,,,157
IB900vm,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,158
ITN9991G,Szakdolgozat előkészítése,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,159
IMN5021miG,Diplomamunka készítése I. MI,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,160
IBM3000,Diplomamunka készítése I.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,161
IB980g-00001,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,162
IMEN3001,Thesis Work 2.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,163
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2020/21/1,Nem,,,,,,,,,,,,,,,,164
IMN311L,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,165
IMEN501,Thesis work 1.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,166
IB980-00001,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,167
IMN502G,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,168
ITL311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2020/21/2,Nem,,,,,,,,,,,,,,,,169
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2018/19/2,Nem,,,,,,,,,,,,,,,,170
ITN311MKG,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2018/19/2,Nem,,,,,,,,,,,,,,,,171
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2018/19/2,Nem,,,,,,,,,,,,,,,,172
ITN311MKG,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2019/20/2,Nem,,,,,,,,,,,,,,,,173
IB975,Szakdolgozat készítése 2. BSc (gi),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,174
